,Date,Close
320,2021-04-12,16.91
321,2021-04-13,16.65
322,2021-04-14,16.99
323,2021-04-15,16.57
324,2021-04-16,16.25
325,2021-04-19,17.29
326,2021-04-20,18.68
327,2021-04-21,17.5
328,2021-04-22,18.71
329,2021-04-23,17.33
330,2021-04-26,17.64
331,2021-04-27,17.56
332,2021-04-28,17.28
333,2021-04-29,17.61
334,2021-04-30,18.61
335,2021-05-03,18.31
336,2021-05-04,19.48
337,2021-05-05,19.15
338,2021-05-06,18.39
339,2021-05-07,16.69
340,2021-05-10,19.66
341,2021-05-11,21.84
342,2021-05-12,27.59
343,2021-05-13,23.13
344,2021-05-14,18.81
345,2021-05-17,19.72
346,2021-05-18,21.34
347,2021-05-19,22.18
348,2021-05-20,20.67
349,2021-05-21,20.15
350,2021-05-24,18.4
351,2021-05-25,18.84
352,2021-05-26,17.36
353,2021-05-27,16.74
354,2021-05-28,16.76
355,2021-06-01,17.9
356,2021-06-02,17.48
357,2021-06-03,18.04
358,2021-06-04,16.42
359,2021-06-07,16.42
360,2021-06-08,17.07
361,2021-06-09,17.89
362,2021-06-10,16.1
363,2021-06-11,15.65
364,2021-06-14,16.39
365,2021-06-15,17.02
366,2021-06-16,18.15
367,2021-06-17,17.75
368,2021-06-18,20.7
369,2021-06-21,17.89
370,2021-06-22,16.66
371,2021-06-23,16.32
372,2021-06-24,15.97
373,2021-06-25,15.62
374,2021-06-28,15.76
375,2021-06-29,16.02
376,2021-06-30,15.83
377,2021-07-01,15.48
378,2021-07-02,15.07
379,2021-07-06,16.44
380,2021-07-07,16.2
381,2021-07-08,19.0
382,2021-07-09,16.18
383,2021-07-12,16.17
384,2021-07-13,17.12
385,2021-07-14,16.33
386,2021-07-15,17.01
387,2021-07-16,18.45
388,2021-07-19,22.5
389,2021-07-20,19.73
390,2021-07-21,17.91
391,2021-07-22,17.69
392,2021-07-23,17.2
393,2021-07-26,17.58
394,2021-07-27,19.36
395,2021-07-28,18.31
396,2021-07-29,17.7
397,2021-07-30,18.24
398,2021-08-02,19.46
399,2021-08-03,18.04
400,2021-08-04,17.97
401,2021-08-05,17.28
402,2021-08-06,16.15
403,2021-08-09,16.72
404,2021-08-10,16.79
405,2021-08-11,16.17
406,2021-08-12,15.59
407,2021-08-13,15.45
408,2021-08-16,16.12
409,2021-08-17,17.91
410,2021-08-18,21.57
411,2021-08-19,21.67
412,2021-08-20,18.56
413,2021-08-23,17.15
414,2021-08-24,17.22
415,2021-08-25,16.79
416,2021-08-26,18.84
417,2021-08-27,16.39
418,2021-08-30,16.19
419,2021-08-31,16.48
420,2021-09-01,16.11
421,2021-09-02,16.41
422,2021-09-03,16.41
423,2021-09-07,18.14
424,2021-09-08,17.96
425,2021-09-09,18.8
426,2021-09-10,20.95
427,2021-09-13,19.37
428,2021-09-14,19.46
429,2021-09-15,18.18
430,2021-09-16,18.69
431,2021-09-17,20.81
432,2021-09-20,25.71
433,2021-09-21,24.36
434,2021-09-22,20.87
435,2021-09-23,18.63
436,2021-09-24,17.75
437,2021-09-27,18.76
438,2021-09-28,23.25
439,2021-09-29,22.56
440,2021-09-30,23.14
441,2021-10-01,21.1
442,2021-10-04,22.96
443,2021-10-05,21.3
444,2021-10-06,21.0
445,2021-10-07,19.54
446,2021-10-08,18.77
447,2021-10-11,20.0
448,2021-10-12,19.85
449,2021-10-13,18.64
450,2021-10-14,16.86
451,2021-10-15,16.3
452,2021-10-18,16.31
453,2021-10-19,15.7
454,2021-10-20,15.49
455,2021-10-21,15.01
456,2021-10-22,15.43
457,2021-10-25,15.24
458,2021-10-26,15.98
459,2021-10-27,16.98
460,2021-10-28,16.53
461,2021-10-29,16.26
462,2021-11-01,16.41
463,2021-11-02,16.03
464,2021-11-03,15.1
